date_of_calculation,code_of_stock,name_of_stock,name_of_short_seller,address_of_short_seller,name_of_discretionary_investment_contractor,address_of_discretionary_investment_contractor,name_of_investment_fund,ratio_of_short_positions_to_shares_outstanding,number_of_short_positions_in_shares,number_of_short_positions_in_trading_units,date_of_calculation_in_previous_reporting,ratio_of_short_positions_in_previous_reporting,notes
2025-07-07,3350,Metaplanet Inc.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.0148,8934878,89348.0,2025-07-04,0.0159,
2025-07-04,3350,Metaplanet Inc.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.0159,9581678,95816.0,2025-07-01,0.0178,
2025-07-04,3350,Metaplanet Inc.,Barclays Capital Securities Ltd,"1 Churchill Place, London, E14 5HP, United Kingdom",,,,0.030600000000000002,20093988,200939.0,2025-06-26,0.0292,
2025-07-03,3350,Metaplanet Inc.,UBS AG,"Bahnhofstrasse 45, 8001 Zurich, Switzerland",,,,0.006,3980078,39800.0,2025-07-01,0.0043,
2025-07-03,3350,Metaplanet Inc.,Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.005,3338152,33381.0,2025-07-02,0.0048,
2025-07-02,3350,Metaplanet Inc.,GOLDMAN SACHS INTERNATIONAL,Plumtree Court 25 Shoe Lane London,,,,0.015300000000000001,10079884,100798.0,2025-06-24,0.014499999999999999,顧客取引に係るヘッジポジション及びETFの場合は当該ETFの設定を伴う空売りを含む
2025-07-01,3350,Metaplanet Inc.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.0178,10751778,107517.0,2025-06-27,0.0166,
2025-06-27,3350,Metaplanet Inc.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.0166,9987978,99879.0,2025-06-26,0.018000000000000002,
2025-06-26,3350,Metaplanet Inc.,Barclays Capital Securities Ltd,"1 Churchill Place, London, E14 5HP, United Kingdom",,,,0.0292,19148888,191488.0,2025-06-24,0.032400000000000005,
2025-06-26,3350,Metaplanet Inc.,Citigroup Global Markets Limited,"Citigroup Centre, Canada Square, Canary Wharf, London E14 5LB , UK",,,,0.0219,14395100,143951.0,2025-06-24,0.0238,
2025-06-26,3350,Metaplanet Inc.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.018000000000000002,10837584,108375.0,2025-06-25,0.0178,
2025-06-25,3350,Metaplanet Inc.,Societe Generale,"Tour S.G. 17 cours Valmy Cedex 92987
PARIS La Defense France",,,,0.0069,4194900,41949.0,2025-06-24,0.007,
2025-06-25,3350,Metaplanet Inc.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.0178,10698984,106989.0,2025-06-24,0.019,
2025-06-25,3350,Metaplanet Inc.,JPM Securities Japan Co Ltd.,"TOKYO BUILDING,7-3, MARUNOUCHI 2-CHOME, CHIYODA-KU, TOKYO, 1006432, JAPAN",,,,0.0103,6763476,67634.0,2025-06-18,0.0113,
2025-06-25,3350,Metaplanet Inc.,Jefferies International Limited,"100 Bishopsgate, London EC2N 4JL, United Kingdom",,,,0.0065,3937088,39370.0,2025-06-23,0.005,
2025-06-24,3350,Metaplanet Inc.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.019,11428284,114282.0,2025-06-23,0.0253,
2025-06-24,3350,Metaplanet Inc.,Barclays Capital Securities Ltd,"1 Churchill Place, London, E14 5HP, United Kingdom",,,,0.032400000000000005,19482088,194820.0,2025-06-23,0.0296,
2025-06-24,3350,Metaplanet Inc.,Evo Fund,"One Nexus Way, Camana Bay, Grand Cayman KY1-9005, Cayman Islands","Evolution Japan Securities Co., Ltd.","New Otani Garden Court 12F, Kioicho 4-1, Chiyoda-ku , Tokyo 102-0094",Evo Fund,0.0,0,0.0,2025-06-17,0.0499,
2025-06-24,3350,Metaplanet Inc.,Societe Generale,"Tour S.G. 17 cours Valmy Cedex 92987
PARIS La Defense France",,,,0.007,4207500,42075.0,,,
2025-06-24,3350,Metaplanet Inc.,UBS AG,"Bahnhofstrasse 45, 8001 Zurich, Switzerland",,,,0.0049,2958539,29585.0,2025-06-18,0.0055000000000000005,
2025-06-24,3350,Metaplanet Inc.,MERRILL LYNCH INTERNATIONAL,"2 KING EDWARD STREET, LONDON, EC1A 1HQ",,,,0.0036,2202925,22029.0,2025-06-23,0.006,
2025-06-24,3350,Metaplanet Inc.,GOLDMAN SACHS INTERNATIONAL,Plumtree Court 25 Shoe Lane London,,,,0.014499999999999999,8754485,87544.0,2025-06-20,0.0121,顧客取引に係るヘッジポジション及びETFの場合は当該ETFの設定を伴う空売りを含む
2025-06-24,3350,Metaplanet Inc.,Citigroup Global Markets Limited,"Citigroup Centre, Canada Square, Canary Wharf, London E14 5LB , UK",,,,0.0238,14322400,143224.0,2025-06-18,0.0256,
2025-06-23,3350,Metaplanet Inc.,Jefferies International Limited,"100 Bishopsgate, London EC2N 4JL, United Kingdom",,,,0.005,3062600,30626.0,2025-06-13,0.0041,
2025-06-23,3350,Metaplanet Inc.,MERRILL LYNCH INTERNATIONAL,"2 KING EDWARD STREET, LONDON, EC1A 1HQ",,,,0.006,3609725,36097.0,2025-06-19,0.0025,
2025-06-23,3350,Metaplanet Inc.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.0253,15205884,152058.0,2025-06-20,0.0287,
2025-06-23,3350,Metaplanet Inc.,Barclays Capital Securities Ltd,"1 Churchill Place, London, E14 5HP, United Kingdom",,,,0.0296,17797688,177976.0,2025-06-20,0.028300000000000002,
2025-06-20,3350,Metaplanet Inc.,Barclays Capital Securities Ltd,"1 Churchill Place, London, E14 5HP, United Kingdom",,,,0.028300000000000002,17021088,170210.0,2025-06-19,0.0263,
2025-06-20,3350,Metaplanet Inc.,GOLDMAN SACHS INTERNATIONAL,Plumtree Court 25 Shoe Lane London,,,,0.0121,7287568,72875.0,2025-06-19,0.011699999999999999,顧客取引に係るヘッジポジション及びETFの場合は当該ETFの設定を伴う空売りを含む
2025-06-20,3350,Metaplanet Inc.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.0287,14363216,143632.0,2025-06-19,0.0253,
2025-06-19,3350,Metaplanet Inc.,Barclays Capital Securities Ltd,"1 Churchill Place, London, E14 5HP, United Kingdom",,,,0.0263,15856388,158563.0,2025-06-18,0.0241,
2025-06-19,3350,Metaplanet Inc.,GOLDMAN SACHS INTERNATIONAL,Plumtree Court 25 Shoe Lane London,,,,0.011699999999999999,7037684,70376.0,2025-06-18,0.012,顧客取引に係るヘッジポジション及びETFの場合は当該ETFの設定を伴う空売りを含む
2025-06-19,3350,Metaplanet Inc.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.0253,12644618,126446.0,2025-06-17,0.0215,
