Date of Calculation,Code of Stock,Name of Stock,Name of Short Seller,Address of Short Seller,Name of Discretionary Investment Contractor,Address of Discretionary Investment Contractor,Name of Investment Fund,Ratio of Short Positions to Shares Outstanding,Number of Short Positions in Shares,Number of Short Positions in Trading Units,Date of Calculation in Previous Reporting,Ratio of Short Positions in Previous Reporting,Notes
2024-06-26,3350,Metaplanet Inc.,Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.021,3674000,36740.0,2024-06-25,0.0208,
2024-06-26,3350,Metaplanet Inc.,XTX Markets Pte Ltd,"50, Collyer Quay, #06-05 OUE Bayfront, Singapore 049321",,,,0.0052,922100,9221.0,2024-06-25,0.0043,
2024-06-25,3350,Metaplanet Inc.,Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.0208,3623300,36233.0,2024-06-24,0.0213,
2024-06-25,3350,Metaplanet Inc.,XTX Markets Pte Ltd,"50, Collyer Quay, #06-05 OUE Bayfront, Singapore 049321",,,,0.0043,763700,7637.0,2024-06-24,0.005,
2024-06-24,3350,Metaplanet Inc.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.0118,2020611,20206.0,2024-06-18,0.0128,
2024-06-24,3350,Metaplanet Inc.,GOLDMAN SACHS INTERNATIONAL,Plumtree Court 25 Shoe Lane London,,,,0.0048,887561,8875.0,2024-06-05,0.0052,顧客取引に係るヘッジポジション及びETFの場合は当該ETFの設定を伴う空売りを含む
2024-06-24,3350,Metaplanet Inc.,Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.0213,3712900,37129.0,2024-06-21,0.0171,
2024-06-24,3350,Metaplanet Inc.,XTX Markets Pte Ltd,"50, Collyer Quay, #06-05 OUE Bayfront, Singapore 049321",,,,0.005,873500,8735.0,2024-06-20,0.0033,
2024-06-21,3350,Metaplanet Inc.,Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.0171,2991900,29919.0,2024-06-20,0.019,
2024-06-20,3350,Metaplanet Inc.,Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.019,3314100,33141.0,2024-06-19,0.0173,
2024-06-19,3350,Metaplanet Inc.,Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.0173,3028200,30282.0,2024-06-18,0.0168,
2024-06-18,3350,Metaplanet Inc.,Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.0168,2940300,29403.0,2024-06-17,0.0177,
2024-06-18,3350,Metaplanet Inc.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.0128,2095711,20957.0,2024-06-11,0.0134,
2024-06-17,3350,Metaplanet Inc.,Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.0177,3085700,30857.0,2024-06-14,0.0184,
2024-06-14,3350,Metaplanet Inc.,Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.0184,3206500,32065.0,2024-06-13,0.0194,
2024-06-13,3350,Metaplanet Inc.,Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.0194,3388500,33885.0,2024-06-12,0.0165,
2024-06-12,3350,Metaplanet Inc.,Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.0165,2885400,28854.0,2024-06-11,0.0146,
2024-06-11,3350,Metaplanet Inc.,Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.0146,2549500,25495.0,2024-06-10,0.0206,
2024-06-11,3350,Metaplanet Inc.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.0134,2178611,21786.0,2024-06-10,0.0192,
2024-06-10,3350,Metaplanet Inc.,Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.0206,3348600,33486.0,2024-06-07,0.0166,
2024-06-10,3350,Metaplanet Inc.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.0192,3133611,31336.0,2024-06-06,0.020500000000000000,
